Title,Slug,Deal Count,About,QA
Meridian Capital Group,meridian-capital-group,1540,"Founded in 1991, Meridian Capital Group is America's most active dealmaker and one of the nation's leading commercial real estate finance, investment sales, and retail leasing advisors. The company represents many of the world's leading real estate investors and developers and has specialized practices for a broad array of property types including office, retail, multifamily, hotel, mixed-use, industrial, and healthcare and senior housing properties. Meridian is headquartered in New York City with offices in New Jersey, Maryland, Illinois, Ohio, Florida, and California.",TRUE
Keller Williams Realty,keller-williams-realty,1274,"Keller Williams Realty is an American technology and international real estate franchise with headquarters in Austin, Texas. It is the largest real estate franchise in the United States by sales volume as of 2022. Founded in 1983 by Gary Keller and Joe Williams, it has grown to approximately 1,100 offices and over 200,000 associates worldwide. The company offers various divisions, including Luxury Homes by Keller Williams and KW Commercial, which provide specialized services in luxury and commercial real estate. Keller Williams has expanded internationally, with franchises in multiple countries, and has positioned itself as a technology company with innovative tools and platforms like KW Labs and Kelle, an artificial intelligence app. The company emphasizes a culture built on shared values and a mission to build careers worth having, businesses worth owning, and lives worth living.",TRUE
J.P. Morgan Chase,j-p-morgan-chase,175,"JPMorgan Chase is a multinational banking and financial services company that offers a wide range of commercial real estate financing options. The company provides loans for various property types, including multifamily, office, retail, industrial, and mixed-use properties. JPMorgan Chase offers fixed- and adjustable-rate loan programs with up to 30-year amortization and flexible payment terms. The firm also provides specialized financing solutions through its Private Bank and Agency Lending teams, catering to both small businesses and large corporations. The company's commercial real estate services include customized financing, payments solutions, and treasury services designed to optimize cash flow and streamline operations.",TRUE
Official,official,166,"Official is a global real estate brand specializing in luxury properties. Founded by top-producing sales teams, it operates in markets such as New York, Miami, the Hamptons, and Aspen. The company is known for its data-driven approach to valuation, performance-driven marketing, and access to private and off-market opportunities. Official's leadership team has guided over $42 billion in new development assets worldwide, providing specialized research and real-time market insights to high net worth clients and developers.",TRUE
Partners Real Estate,partners-real-estate,140,"Partners Real Estate is a national commercial real estate firm offering a full spectrum of services and investments. The company provides occupiers and tenants services, landlords and investors services, and specializes in commercial real estate investments. It focuses on delivering superior results through internal collaboration and utilizes industry expertise and local market knowledge to serve clients effectively.",TRUE
Carolwood Estates,carolwood-estates,137,"Carolwood Estates is a boutique brokerage based in Beverly Hills, founded by an organic collaboration of highly successful real estate professionals. Leveraging its stellar leadership and supported by the most refined resources in the industry, Carolwood Estates is driven by an unrelenting focus on discretion, transactional excellence, and exceeding client expectations.",TRUE
NNN Pro Group,nnn-pro-group,78,"NNN Pro Group is a leading commercial real estate investment sales and advisory firm specializing in single-tenant, net lease investment services. The company was founded over 20 years ago by Glen Kunofsky and has since closed over $30 billion in net lease transactions across retail, industrial, and office properties. NNN Pro Group is known for its personal approach, long-term client relations, and strategic business opportunities. The firm offers various services including investment sales, buy-side representation, sale leaseback, 1031 exchange, portfolio management, and finance and refinancing. NNN Pro Group is headquartered in New York City and has been recognized as one of the Best Places to Work in commercial real estate.",TRUE
Madison Realty Capital,madison-realty-capital-2,76,"Madison Realty Capital is a vertically integrated private equity firm focused on US-based commercial real estate private credit strategies. As of June 30, 2024, the firm, including its controlled affiliates, manages $21 billion in assets under management on behalf of a global institutional investor base. Since 2004, Madison has completed over $48 billion of securities and non-securities real estate transactions largely through direct lending to a wide range of borrowers, acquiring non-performing loans, and making preferred equity investments. The firm seeks to deliver value across every phase of the property lifecycle by providing customized financing solutions and strong underwriting capabilities that meet borrowers' unique needs with speed and certainty of execution.",TRUE
Partners CRE,partners-cre,75,"Partners CRE is a National investment real estate advisory and brokerage firm, based in Beverly Hills, specializing in the sale of income-producing properties. The company provides a full suite of integrated real estate services, tailored to deliver quantifiable value to clients ranging from investors, owners, and developers, to tenants across a range of industries. Their multidisciplinary team has a demonstrated track record of uncovering promising opportunities and navigating complex real estate transactions with expertise and integrity.",TRUE
NewQuest Properties,newquest-properties,73,"NewQuest Properties is a privately owned, full-service company founded in 2001. It specializes in retail leasing, tenant representation, land brokerage, commercial development, and property management. The company is headquartered in Houston, Texas, and manages a $2.3 billion portfolio encompassing more than 100 retail and mixed-use projects across Texas, Louisiana, Arizona, and Georgia. NewQuest Properties has over 20 years of experience in commercial real estate and is known for its focus on delivering consistent, predictable results with every project.",TRUE
MIG Realty,mig-realty,72,"MIG Real Estate LLC is a privately held real estate investment and development firm headquartered in Newport Beach, California. The company invests in and develops high-quality multifamily, hotel, retail, and industrial/flex properties located in the Western U.S. and Sunbelt states. MIG Real Estate owns and operates over 10 million square feet of retail, office, and industrial/flex uses, more than 1,740 hotel keys, and over 6,800 multifamily units. The company focuses on strategic investment and management of sustainable residential and business communities with a focus on retaining full ownership of its real estate investment assets for value-add appreciation.",TRUE
Christian Angle Real Estate,christian-angle-real-estate,68,"Christian Angle Real Estate is a boutique-style real estate brokerage firm specializing in luxury residences and commercial properties in Palm Beach and South Florida. Founded by Christian Angle over 20 years ago, the company has built a reputation for delivering results through extensive real estate knowledge, aggressive marketing campaigns, and successful negotiation skills. The firm has achieved national recognition, ranking among the top 250 real estate professionals for sales volume, as referenced in the Real Trends/Wall Street Journal. Christian Angle Real Estate has sold over $1.5 billion in real estate since 2020 and has been ranked #1 in Palm Beach with over $790 million sold in 2022, according to Real Trends/The Wall Street Journal.",TRUE
Berger Commercial Realty,berger-commercial-realty,63,"Berger Commercial Realty is a full-service commercial real estate firm based in Boynton Beach, Florida. The company provides a range of services including commercial property management, leasing, brokerage, and construction management. With a portfolio of over 7 million square feet, Berger Commercial Realty is one of South Florida's leading property management firms, offering strategic management plans tailored to each client's unique needs.",TRUE
Atlantic Retail,atlantic-retail-,61,"Atlantic Retail is a Boston-based, full-service brokerage and advisory firm with nine locations along the East Coast and Southern California. It provides services including tenant representation, property leasing, portfolio disposition, land management, high street & urban, and capital markets. The company represents over 250 retail clients of all sizes and offers advisory services to a breadth of property owners from large institutional investors, family offices, and merchant developers.",TRUE
Block Real Estate Group,block-real-estate-group,60,Block Real Estate Group is a New York City based real estate brokerage and advisory firm that specializes in the sale of investment properties and multifamily townhomes in New York City.,TRUE
NAI James E. Hanson,nai-james-e-hanson-,57,"NAI James E. Hanson is a full-service commercial real estate firm committed to providing the highest quality commercial real estate services in Northern New Jersey and Southern New York. Founded in 1955, the company focuses on two clear objectives: performing extraordinary work and delivering remarkable client service. Their services include property management, lease abstracting and administration, tenant installation, and cash management, among others. The company has received numerous awards and recognitions for its achievements in the industry.",TRUE
Northgate Real Estate Group,northgate-real-estate-group,55,"Northgate Real Estate Group specializes in bankruptcy, foreclosure, loan sales, workouts, REOs, and special situation sales. The company offers a full spectrum of services for real estate borrowers and lenders, including Chapter 11 recapitalization, Chapter 7 363 liquidation, judicial or UCC foreclosure, loan sale, and lender/borrower workout. With over $3,300,000,000 in transactions, Northgate's team is well-versed in all aspects of special situation sales, refinancing, and recapitalizing assets. The company maintains a deep understanding of the complex legal structures, documents, and strategies involved in bankruptcy and foreclosure. Northgate's extensive proprietary database of over 70,000 people includes real estate investors, developers, institutional funds, syndicators, attorneys, trustees, family offices, auction participants, brokers, and buyers specializing in distressed properties, loans, and troubled assets.",TRUE
Grove Property Group,grove-property-group,52,"Grove Property Group specializes in off-market multifamily investment properties, leasing, property management, and residential sales. Founded in 2023, the company emerged from a collective vision to revolutionize the real estate industry with a focus on integrity and expertise. Despite being a young company, the team boasts decades of combined experience in the field. Grove Property Group leverages extensive market knowledge and innovative strategies to provide tailored solutions for each client's unique needs. The company is committed to honesty, integrity, and transparency, ensuring that clients receive trustworthy guidance throughout their real estate journey.",TRUE
MOD,mod,51,"MOD specializes in creating tailored growth plans for retailers. From multinational giants to direct-to-consumer startups and local restaurants, they help businesses find ideal spaces. They offer tenant representation services, ensuring that each business finds the optimal space for its needs. Additionally, they provide landlord representation, working closely with architects, marketing departments, banks, and lenders to maximize the value of properties. MOD aims to shape the NYC landscape by connecting outstanding brands with great spaces, adding value beyond financial returns.",TRUE
